STC_RFS_DATE,EQPT_NAME,GOLD_ORDER_NUMBER,IC01_ID,cust_name,OCEANE_Site,OCEANE_Product_Identifier2
"06/15/2021 12:19:35",KZNN30365,10-1288000,1908,"Akzo Nobel Sourcing BV",HDE,"No Data Found"
"04/14/2021 08:53:01",ABYU30463,10-1252980,686138,"British American Shared Services G","No Data Found","No Data Found"
"04/14/2021 08:53:01",KBYU30279,10-1252980,686138,"British American Shared Services G","No Data Found","No Data Found"
"04/14/2021 08:53:01",KBYU30283,10-1252980,686138,"British American Shared Services G","No Data Found","No Data Found"
"04/14/2021 08:53:01",KBYU30358,10-1252980,686138,"British American Shared Services G","No Data Found","No Data Found"
"04/16/2021 13:38:37",KSOU30837,10-1217915,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 11:53:27",AKIS30026,10-1218008,686138,"British American Shared Services G","No Data Found","No Data Found"
"04/15/2021 10:42:23",AMAD321,10-1242790,30075,"Philip Morris International",30075_ESP_Madrid_002,"No Data Found"
"06/20/2021 17:03:02",AWAW086,10-1315887,30075,"Philip Morris International",PL-WAW-HQO,"No Data Found"
"06/10/2021 11:48:38",KLON31243,10-1217914,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/20/2021 17:03:02",KWAW1012,10-1315887,30075,"Philip Morris International",PL-WAW-HQO,"No Data Found"
"06/09/2021 12:32:44",AWAW30289,10-1217415,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/10/2021 11:33:56",KISB30020,10-1218473,686138,"British American Shared Services G",686138_PAK_Rawalpindi_002,"No Data Found"
"06/01/2021 08:24:47",AGLA30183,,9594,"GlaxoSmithKline Services Unlimited",GSK-GBR-IRV,"No Data Found"
NULL,ASIN539,,30075,"Philip Morris International",SG-SIN-RND,"No Data Found"
"06/10/2021 12:27:32",AAMM30023,10-1217892,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/11/2021 14:13:32",KWUX30828,,9594,"GlaxoSmithKline Services Unlimited",9594_CHN_Suzhou_006,"No Data Found"
"06/09/2021 12:32:44",AWAW30300,10-1217415,686138,"British American Shared Services G","No Data Found","No Data Found"
NULL,ASIN071,,30075,"Philip Morris International",SG-SIN-RND,"No Data Found"
"06/10/2021 11:33:56",KISB30011,10-1218473,686138,"British American Shared Services G",686138_PAK_Rawalpindi_002,"No Data Found"
"06/11/2021 14:13:32",AWUX30762,,9594,"GlaxoSmithKline Services Unlimited",9594_CHN_Suzhou_006,"No Data Found"
"06/24/2021 11:24:52",KXVP30046,,689068,"Otis Elevator Company",689068_FRA_Roissy-en-France_00,"No Data Found"
"06/11/2021 14:13:32",AWUX30781,,9594,"GlaxoSmithKline Services Unlimited",9594_CHN_Suzhou_006,"No Data Found"
"06/09/2021 11:21:30",AHRE30037,10-1217995,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/20/2021 17:03:02",AWAW078,10-1315887,30075,"Philip Morris International",PL-WAW-HQO,"No Data Found"
"06/18/2021 00:57:29",KFBM30060,10-1240364,682318,"MMG Australia Limited",682318_COD_Lubumbashi_00003,"No Data Found"
"02/11/2021 23:00:00",KPHX30047,,689068,"Otis Elevator Company",689068_USA_Phoenix_001,"No Data Found"
"06/08/2021 10:48:14",AKPD32166,,9594,"GlaxoSmithKline Services Unlimited",GSK-USA-UMW,"No Data Found"
"06/10/2021 10:59:29",KHIN30027,10-1218479,686138,"British American Shared Services G",686138_KOR_Sacheon-si_001,"No Data Found"
"06/18/2021 00:57:29",KFBM30068,10-1240364,682318,"MMG Australia Limited",682318_COD_Lubumbashi_00003,"No Data Found"
"04/15/2021 10:42:23",AMAD357,10-1242790,30075,"Philip Morris International",30075_ESP_Madrid_002,"No Data Found"
"06/09/2021 12:05:11",ALOS30129,10-1218002,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/11/2021 14:13:32",AWUX30864,,9594,"GlaxoSmithKline Services Unlimited",9594_CHN_Suzhou_006,"No Data Found"
"06/11/2021 14:13:32",AWUX30719,,9594,"GlaxoSmithKline Services Unlimited",9594_CHN_Suzhou_006,"No Data Found"
"06/10/2021 20:06:55",KHKG30221,,689068,"Otis Elevator Company","689068_HKG_Kowloon Bay_001","No Data Found"
"06/10/2021 11:33:56",KISB30003,10-1218473,686138,"British American Shared Services G",686138_PAK_Rawalpindi_002,"No Data Found"
NULL,ASIN540,,30075,"Philip Morris International",SG-SIN-RND,"No Data Found"
"06/10/2021 11:48:38",ALON31364,10-1217914,686138,"British American Shared Services G","No Data Found","No Data Found"
NULL,ASIN065,,30075,"Philip Morris International",SG-SIN-RND,"No Data Found"
"06/09/2021 11:22:41",ANTR30154,10-1217531,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 11:22:41",KNTR30060,10-1217531,686138,"British American Shared Services G",686138_MEX_Monterrey_002,"No Data Found"
"06/23/2021 22:00:00",KLUX30057,10-1338774,689068,"Otis Elevator Company",689068_LUX_Howald_001,"No Data Found"
"06/09/2021 13:02:55",ASKD30009,10-1250851,686138,"British American Shared Services G",686138_UZB_Samarkand_001,"No Data Found"
"06/09/2021 13:02:55",ASKD30050,10-1250851,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 13:02:55",ASKD30028,10-1250851,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 13:02:55",ASKD30042,10-1250851,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 13:02:55",ASKD30036,10-1250851,686138,"British American Shared Services G","No Data Found","No Data Found"
"04/14/2021 08:53:01",KBYU30299,10-1252980,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/01/2021 17:05:23",KKPD32148,,9594,"GlaxoSmithKline Services Unlimited",GSK-USA-US1-01,"No Data Found"
"04/16/2021 13:38:37",ASOU30702,10-1217915,686138,"British American Shared Services G","No Data Found","No Data Found"
"04/16/2021 13:38:37",KSOU30793,10-1217915,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/01/2021 17:05:23",AKPD614,,9594,"GlaxoSmithKline Services Unlimited",GSK-USA-US1-01,"No Data Found"
"04/16/2021 13:38:37",KSOU30845,10-1217915,686138,"British American Shared Services G",686138_GBR_Southampton_001,"No Data Found"
"06/15/2021 12:19:35",AZNN30401,10-1288000,1908,"Akzo Nobel Sourcing BV",HDE,"No Data Found"
"06/15/2021 12:19:35",AZNN30418,10-1288000,1908,"Akzo Nobel Sourcing BV",HDE,"No Data Found"
"06/16/2021 13:13:27",KRIO30293,10-1331897,9594,"GlaxoSmithKline Services Unlimited","9594_BRA_Rio de Janeiro_MIG_00","No Data Found"
"06/09/2021 11:53:27",AKIS30037,10-1218008,686138,"British American Shared Services G",686138_KEN_Thika_001,"No Data Found"
"06/27/2021 22:00:00",KBMA30079,10-1338930,689068,"Otis Elevator Company",689068_SWE_Skärholmen_001,"No Data Found"
"06/20/2021 17:03:02",KWAW1098,10-1315887,30075,"Philip Morris International",PL-WAW-HQO,"No Data Found"
"06/10/2021 11:24:32",AQKH30011,10-1218472,686138,"British American Shared Services G",686138_PAK_Jhelum_001,"No Data Found"
"06/09/2021 12:05:11",ALOS30104,10-1218002,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/18/2021 00:57:29",KFBM30019,10-1240364,682318,"MMG Australia Limited",682318_COD_Lubumbashi_00003,"No Data Found"
"06/09/2021 11:45:19",AIBA30009,10-1218000,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 12:05:11",ALOS30085,10-1218002,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/01/2021 08:24:47",AGLA30143,,9594,"GlaxoSmithKline Services Unlimited",GSK-GBR-IRV,"No Data Found"
NULL,ASIN559,,30075,"Philip Morris International",SG-SIN-RND,"No Data Found"
"06/10/2021 10:59:29",AHIN30123,10-1218479,686138,"British American Shared Services G",686138_KOR_Sacheon-si_001,"No Data Found"
"06/01/2021 23:48:15",AQCM30077,10-1273509,1908,"Akzo Nobel Sourcing BV",1908_ITA_Como_00001,"No Data Found"
"06/11/2021 14:13:32",KWUX30874,,9594,"GlaxoSmithKline Services Unlimited",9594_CHN_Suzhou_006,"No Data Found"
"06/10/2021 11:48:38",KLON31282,10-1217914,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/08/2021 11:43:24",KKUL30127,10-1249185,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/10/2021 11:48:38",ALON31344,10-1217914,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/10/2021 10:59:29",AHIN30042,10-1218479,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 12:45:31",AIST30186,10-1234305,686138,"British American Shared Services G","No Data Found","No Data Found"
NULL,KSIN1176,,30075,"Philip Morris International",SG-SIN-RND,OBSSGSINSWI029
"06/03/2021 15:31:23",KMAG30019,10-1217482,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 12:05:11",ALOS30116,10-1218002,686138,"British American Shared Services G","No Data Found","No Data Found"
NULL,ASIN029,,30075,"Philip Morris International",SG-SIN-RND,"No Data Found"
"06/11/2021 14:13:32",AWUX30959,,9594,"GlaxoSmithKline Services Unlimited",9594_CHN_Suzhou_006,"No Data Found"
"06/09/2021 12:45:31",KIST30166,10-1234305,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/01/2021 23:48:15",AQCM30046,10-1273509,1908,"Akzo Nobel Sourcing BV",1908_ITA_Como_00001,"No Data Found"
"06/10/2021 11:48:38",ALON31380,10-1217914,686138,"British American Shared Services G","No Data Found","No Data Found"
"07/02/2021 11:45:10",ABZM105,10-1306249,30075,"Philip Morris International",NL-BZM-PMI,"No Data Found"
